Cella [i=0, j=0, valore=6, numElementiScala=1]
Cella [i=0, j=1, valore=5, numElementiScala=2]
Cella [i=0, j=2, valore=4, numElementiScala=3]
Cella [i=0, j=3, valore=3, numElementiScala=4]
Cella [i=0, j=4, valore=2, numElementiScala=5]
Cella [i=0, j=5, valore=1, numElementiScala=6]
Cella [i=1, j=0, valore=6, numElementiScala=7]
Cella [i=1, j=1, valore=5, numElementiScala=8]
Cella [i=1, j=2, valore=4, numElementiScala=9]
Cella [i=1, j=3, valore=3, numElementiScala=10]
Cella [i=1, j=4, valore=2, numElementiScala=11]
Cella [i=1, j=5, valore=1, numElementiScala=12]
Cella [i=2, j=0, valore=1, numElementiScala=13]
Cella [i=2, j=1, valore=5, numElementiScala=1]
Cella [i=2, j=2, valore=4, numElementiScala=2]
Cella [i=2, j=3, valore=3, numElementiScala=3]
Cella [i=2, j=4, valore=2, numElementiScala=4]
Cella [i=2, j=5, valore=1, numElementiScala=5]
Cella [i=3, j=0, valore=6, numElementiScala=6]
Cella [i=3, j=1, valore=5, numElementiScala=7]
Cella [i=3, j=2, valore=4, numElementiScala=8]
Cella [i=3, j=3, valore=3, numElementiScala=9]
Cella [i=3, j=4, valore=2, numElementiScala=10]
Cella [i=3, j=5, valore=1, numElementiScala=11]
Cella [i=4, j=0, valore=2, numElementiScala=12]
Cella [i=4, j=1, valore=1, numElementiScala=13]
Cella [i=4, j=2, valore=3, numElementiScala=1]
Cella [i=4, j=3, valore=2, numElementiScala=2]
Cella [i=4, j=4, valore=1, numElementiScala=3]
Cella [i=5, j=0, valore=5, numElementiScala=4]
Cella [i=5, j=1, valore=4, numElementiScala=5]
Cella [i=5, j=2, valore=3, numElementiScala=6]
Cella [i=5, j=3, valore=2, numElementiScala=7]
Cella [i=5, j=4, valore=1, numElementiScala=8]
Cella [i=6, j=0, valore=5, numElementiScala=9]
Cella [i=6, j=1, valore=4, numElementiScala=10]
Cella [i=6, j=2, valore=3, numElementiScala=11]
Cella [i=6, j=3, valore=2, numElementiScala=12]
Cella [i=6, j=4, valore=1, numElementiScala=13]
Cella [i=7, j=0, valore=5, numElementiScala=1]
Cella [i=7, j=1, valore=4, numElementiScala=2]
Cella [i=7, j=2, valore=3, numElementiScala=3]
Cella [i=7, j=3, valore=2, numElementiScala=4]
Cella [i=7, j=4, valore=1, numElementiScala=5]
Cella [i=8, j=0, valore=5, numElementiScala=6]
Cella [i=8, j=1, valore=4, numElementiScala=7]
Cella [i=8, j=2, valore=3, numElementiScala=8]
Cella [i=8, j=3, valore=2, numElementiScala=9]
Cella [i=8, j=4, valore=1, numElementiScala=10]
Cella [i=9, j=0, valore=3, numElementiScala=11]
Cella [i=9, j=1, valore=2, numElementiScala=12]
Cella [i=9, j=2, valore=1, numElementiScala=13]
Cella [i=9, j=3, valore=2, numElementiScala=1]
Cella [i=9, j=4, valore=1, numElementiScala=2]
